timestamp,PV (kWh),Load (kWh),price (cents/kWh)
01112011 12:00,4371.442306,3847,68.88
01112011 13:00,4014.2948725,3798,65.32
01112011 14:00,3451.25,3741,63.32
01112011 15:00,2495.096153,3746,65.52
01112011 16:00,1278.0448725,4000,76.22
01112011 17:00,267.596153,4266,88.31
01112011 18:00,40.8974335,4251,81.73
01112011 19:00,0,4154,76.76
01112011 20:00,0,3970,73.17
01112011 21:00,0,3692,69.19
01112011 22:00,0,3344,56.59
01112011 23:00,0,3073,51.96
01122011 0:00,0,2897,53.56
01122011 1:00,0,2813,48.75
01122011 2:00,0,2760,43.36
01122011 3:00,0,2780,42.72
01122011 4:00,0,2865,44.65
01122011 5:00,0,3095,48.94
01122011 6:00,0,3444,70.48
01122011 7:00,47.243592,3682,73.82
01122011 8:00,746.7307705,3802,85.8
01122011 9:00,3453.0128215,3915,90.35
01122011 10:00,4065.7692295,4018,95.27
01122011 11:00,4353.461541,4058,92.16
01122011 12:00,4350.6410255,4036,99.99
01122011 13:00,4002.660255,3979,88.82
01122011 14:00,3394.4871785,3892,88.48
01122011 15:00,2365.3525665,3832,87.19
01122011 16:00,1170.160255,4036,100.7
01122011 17:00,344.4551275,4315,110.65
01122011 18:00,38.4294845,4233,104.22
01122011 19:00,0,4033,98.24
01122011 20:00,0,3812,90.96
01122011 21:00,0,3520,76.58
01122011 22:00,0,3202,57.05
01122011 23:00,0,2965,61.75
01132011 00:00,0,2788,58.17
01132011 01:00,0,2714,51.96
01132011 02:00,0,2678,49.45
01132011 03:00,0,2692,47.67
01132011 04:00,0,2782,47.9
01132011 05:00,0,3070,56.72
01132011 06:00,0,3546,77.38
01132011 07:00,80.032051,3757,96.15
01132011 08:00,674.4551275,3755,89.87
01132011 09:00,1720.8653825,3772,97.05
01132011 10:00,1353.846153,3795,107.54
01132011 11:00,885.993592,3792,108.01
01132011 12:00,1702.8846175,3741,104.81
01132011 13:00,1214.935898,3733,97.71
01132011 14:00,973.4294845,3697,88.75
01132011 15:00,714.6474335,3703,95
01132011 16:00,648.3653825,3922,115.38
01132011 17:00,259.4871785,4216,129.26
